                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.79275,                0.47336,                  1.018,                0.94323,                0.92133,                0.96643,                0.73009,                0.85148,                 0.4821,                 1.0652,              0.0096733,              0.0096733,              0.0096733
                     35,                0.77986,                0.45708,                 1.0057,                0.95731,                0.90166,                 0.9576,                0.72401,                0.87973,                0.48681,                 1.0696,              0.0096634,              0.0096634,              0.0096634
                     36,                0.78327,                0.46206,                 1.0028,                0.95404,                0.90811,                0.96252,                0.73358,                0.86353,                0.48279,                 1.0566,              0.0096535,              0.0096535,              0.0096535
                     37,                0.77932,                0.45337,                 1.0013,                   0.95,                0.85523,                0.95056,                0.73193,                0.82411,                0.47209,                  1.039,              0.0096436,              0.0096436,              0.0096436
                     38,                0.76904,                0.44729,                0.99816,                0.96355,                 0.9163,                0.96424,                0.73382,                0.82567,                 0.4627,                 1.0302,              0.0096337,              0.0096337,              0.0096337
                     39,                0.75695,                0.43838,                0.99187,                0.90239,                0.90537,                0.93554,                0.70587,                0.86562,                0.49619,                 1.0594,              0.0096238,              0.0096238,              0.0096238
                     40,                0.75958,                0.43864,                0.99536,                0.93757,                0.89641,                0.94499,                0.73136,                0.84143,                0.49284,                 1.0469,              0.0096139,              0.0096139,              0.0096139
                     41,                0.75278,                0.44382,                0.98888,                0.93625,                0.92407,                0.96172,                  0.731,                 0.8247,                 0.4725,                 1.0303,               0.009604,               0.009604,               0.009604
                     42,                0.75635,                0.43861,                0.99234,                0.96501,                0.91356,                0.96607,                0.73071,                0.83914,                 0.4582,                  1.037,              0.0095941,              0.0095941,              0.0095941
                     43,                0.74939,                  0.433,                0.99194,                0.94502,                0.91117,                0.96477,                0.74118,                0.83379,                0.48483,                 1.0408,              0.0095842,              0.0095842,              0.0095842
                     44,                0.75239,                0.43269,                0.98476,                0.96148,                0.89488,                0.95966,                0.72465,                0.86341,                0.48357,                 1.0702,              0.0095743,              0.0095743,              0.0095743
                     45,                0.73917,                0.43107,                0.98639,                0.93174,                0.92784,                 0.9574,                0.72955,                0.84042,                0.46347,                 1.0414,              0.0095644,              0.0095644,              0.0095644
                     46,                0.73412,                0.42574,                0.97993,                0.94558,                0.92615,                0.96183,                0.74458,                0.81647,                0.45709,                 1.0267,              0.0095545,              0.0095545,              0.0095545
                     47,                0.71813,                0.41787,                0.97807,                0.92515,                0.92728,                0.95949,                0.74068,                 0.8197,                0.45766,                 1.0277,              0.0095446,              0.0095446,              0.0095446
                     48,                0.71419,                0.41834,                0.97567,                0.94925,                0.92721,                0.95991,                0.73856,                0.80495,                0.44425,                 1.0394,              0.0095347,              0.0095347,              0.0095347
                     49,                 0.7214,                0.42201,                0.97841,                0.95834,                0.90651,                0.96795,                0.73342,                0.81404,                0.44801,                 1.0368,              0.0095248,              0.0095248,              0.0095248
                     50,                0.72045,                0.41405,                0.97318,                0.93126,                0.93072,                0.96359,                0.74846,                0.79423,                0.44955,                 1.0251,              0.0095149,              0.0095149,              0.0095149
                     51,                0.71288,                0.41255,                 0.9711,                0.95603,                0.89742,                0.95896,                0.74291,                0.80499,                0.44217,                 1.0346,               0.009505,               0.009505,               0.009505
                     52,                0.70643,                0.40677,                0.96799,                0.94448,                0.93089,                0.96335,                 0.7503,                0.79849,                0.43839,                 1.0223,              0.0094951,              0.0094951,              0.0094951
                     53,                0.71383,                0.40683,                0.97438,                0.93149,                0.91833,                0.95233,                0.74428,                0.79491,                0.46634,                 1.0257,              0.0094852,              0.0094852,              0.0094852
                     54,                0.69529,                0.40903,                0.96312,                0.92713,                0.93827,                0.96823,                 0.7468,                0.80031,                0.44075,                 1.0349,              0.0094753,              0.0094753,              0.0094753
                     55,                0.70248,                0.40844,                0.96754,                0.94945,                0.90308,                 0.9641,                0.74997,                0.76598,                0.43346,                 1.0083,              0.0094654,              0.0094654,              0.0094654
                     56,                0.69815,                0.40611,                0.96472,                0.96683,                0.87965,                0.95862,                0.75354,                0.80046,                0.43287,                 1.0294,              0.0094555,              0.0094555,              0.0094555
                     57,                0.69645,                0.39909,                0.96526,                0.96911,                0.89806,                0.96771,                0.74502,                0.79971,                0.43068,                 1.0422,              0.0094456,              0.0094456,              0.0094456
                     58,                0.69871,                0.40013,                0.96328,                0.93271,                0.92455,                0.95787,                0.74632,                0.77718,                0.45136,                 1.0243,              0.0094357,              0.0094357,              0.0094357
                     59,                0.68421,                0.39606,                0.95857,                0.92594,                0.91616,                0.95995,                0.74677,                0.80507,                0.45492,                 1.0368,              0.0094258,              0.0094258,              0.0094258
                     60,                0.69136,                0.39769,                0.97194,                 0.9213,                0.91838,                0.96226,                 0.7503,                0.81558,                0.45414,                 1.0396,              0.0094159,              0.0094159,              0.0094159
                     61,                0.68642,                0.40208,                0.95883,                0.95458,                0.88801,                0.96936,                0.76006,                0.78607,                0.43537,                 1.0169,               0.009406,               0.009406,               0.009406
                     62,                0.68364,                0.39187,                0.95872,                0.93255,                0.92008,                0.96053,                0.76159,                0.75981,                0.42759,                 1.0036,              0.0093961,              0.0093961,              0.0093961
                     63,                0.68641,                0.39697,                0.95458,                0.94576,                 0.9364,                0.97998,                0.76789,                0.76717,                0.40822,                 1.0173,              0.0093862,              0.0093862,              0.0093862
                     64,                0.67933,                0.39164,                 0.9536,                0.93736,                0.91907,                0.96601,                0.75211,                0.74516,                0.41817,                0.99765,              0.0093763,              0.0093763,              0.0093763
                     65,                0.67179,                0.38773,                0.95083,                0.94833,                0.89991,                0.96715,                 0.7538,                0.76398,                0.41853,                 1.0122,              0.0093664,              0.0093664,              0.0093664
                     66,                0.66049,                0.37914,                0.94936,                0.94579,                0.93706,                0.97237,                0.76664,                0.75482,                 0.4183,                 1.0024,              0.0093565,              0.0093565,              0.0093565
                     67,                0.67381,                0.38705,                0.95589,                0.94557,                0.91199,                0.96264,                0.75984,                0.77607,                0.43948,                 1.0139,              0.0093466,              0.0093466,              0.0093466
                     68,                0.66834,                0.38329,                0.95541,                0.96447,                0.91564,                0.96881,                 0.7603,                0.77052,                0.41349,                 1.0018,              0.0093367,              0.0093367,              0.0093367
                     69,                0.66071,                0.37715,                0.94424,                0.95349,                0.89727,                0.97087,                0.77012,                0.75114,                0.41817,                  1.003,              0.0093268,              0.0093268,              0.0093268
                     70,                0.66376,                0.38601,                 0.9516,                0.94806,                0.91947,                0.96888,                0.76256,                0.75331,                0.40098,                 1.0086,              0.0093169,              0.0093169,              0.0093169
                     71,                0.66287,                0.37944,                0.94382,                0.97726,                0.92952,                0.97671,                0.77012,                0.73534,                0.39356,                0.99532,               0.009307,               0.009307,               0.009307
                     72,                0.66132,                0.37819,                0.94696,                0.95177,                0.92774,                0.96814,                0.76463,                0.76686,                0.42064,                 1.0097,              0.0092971,              0.0092971,              0.0092971
                     73,                0.65543,                0.37692,                0.94949,                0.96885,                0.91437,                0.97373,                0.76406,                 0.7484,                0.39782,                 1.0063,              0.0092872,              0.0092872,              0.0092872
                     74,                0.65909,                0.37657,                0.94804,                0.94181,                0.91882,                0.97038,                0.76682,                0.76279,                0.43229,                  1.014,              0.0092773,              0.0092773,              0.0092773
                     75,                0.64953,                0.37578,                0.94211,                0.95879,                0.92388,                0.97393,                0.76628,                0.75707,                0.42351,                 1.0004,              0.0092674,              0.0092674,              0.0092674
                     76,                0.65273,                0.37527,                0.94269,                0.96235,                 0.8996,                0.96969,                0.76773,                0.73986,                0.40395,                0.98573,              0.0092575,              0.0092575,              0.0092575
                     77,                0.65025,                0.37436,                0.93774,                 0.9599,                0.89991,                0.97197,                0.76518,                0.73137,                0.41577,                0.99466,              0.0092476,              0.0092476,              0.0092476
                     78,                0.64859,                0.37657,                0.94042,                0.96946,                0.93389,                0.97149,                 0.7679,                0.74572,                0.40214,                0.99269,              0.0092377,              0.0092377,              0.0092377
                     79,                0.64918,                0.37025,                 0.9435,                0.95588,                0.93381,                0.97051,                0.76523,                0.74429,                0.38151,                0.99305,              0.0092278,              0.0092278,              0.0092278
                     80,                0.64775,                0.37033,                0.94253,                0.96713,                0.92375,                0.97238,                0.76683,                0.74799,                0.39872,                 1.0111,              0.0092179,              0.0092179,              0.0092179
                     81,                0.64567,                0.37127,                0.94084,                0.92903,                0.94468,                 0.9708,                0.76792,                0.74044,                0.39811,                0.99846,               0.009208,               0.009208,               0.009208
                     82,                0.64335,                0.37121,                0.94629,                0.94608,                0.95092,                0.97711,                 0.7823,                0.73244,                 0.3788,                 1.0018,              0.0091981,              0.0091981,              0.0091981
                     83,                0.64293,                 0.3718,                0.94157,                 0.9704,                0.93204,                0.97504,                0.77551,                0.72234,                0.39226,                0.99722,              0.0091882,              0.0091882,              0.0091882
                     84,                0.63681,                0.36576,                0.93242,                0.95861,                0.93865,                0.98064,                0.78492,                0.70778,                0.38308,                0.97806,              0.0091783,              0.0091783,              0.0091783
                     85,                0.63588,                0.36278,                0.94243,                0.95537,                0.92992,                0.97558,                0.78293,                0.71616,                0.38101,                0.99363,              0.0091684,              0.0091684,              0.0091684
                     86,                0.62875,                 0.3595,                0.93271,                0.94352,                0.94829,                0.98018,                 0.7869,                 0.7095,                0.37947,                0.97935,              0.0091585,              0.0091585,              0.0091585
                     87,                 0.6319,                0.35835,                0.93004,                0.95102,                0.94334,                0.97997,                0.78752,                0.72137,                 0.3765,                0.97942,              0.0091486,              0.0091486,              0.0091486
                     88,                  0.627,                0.36141,                0.93552,                0.89997,                0.96521,                 0.9729,                0.78247,                0.71473,                0.39116,                0.98236,              0.0091387,              0.0091387,              0.0091387
                     89,                0.62882,                0.36233,                0.93731,                0.95903,                0.91914,                 0.9741,                0.77641,                0.69964,                0.39992,                0.97795,              0.0091288,              0.0091288,              0.0091288
                     90,                0.61914,                0.35697,                0.92491,                0.96363,                 0.9351,                 0.9775,                0.78332,                0.70779,                0.37383,                0.97736,              0.0091189,              0.0091189,              0.0091189
                     91,                0.62028,                0.35666,                0.92876,                 0.9562,                0.93371,                0.98113,                0.79421,                0.69613,                0.36904,                0.97037,               0.009109,               0.009109,               0.009109
                     92,                0.62474,                0.35621,                0.92793,                0.93914,                0.95499,                0.97754,                0.77381,                0.73493,                0.36993,                0.98422,              0.0090991,              0.0090991,              0.0090991
                     93,                0.61382,                0.35068,                0.92286,                0.96268,                0.94047,                0.97324,                0.79117,                0.68838,                0.36918,                0.96761,              0.0090892,              0.0090892,              0.0090892
                     94,                0.61871,                0.35176,                0.92839,                 0.9479,                0.95247,                0.97198,                 0.7865,                 0.6978,                0.36977,                0.97381,              0.0090793,              0.0090793,              0.0090793
